season,player,team,position,games,minutes,fga,fgm,fta,ftm,pts,ast,reb,stl,blk,tov
2019-20,Cody Zeller,CHA,UNK,58,23.1,8.3,4.3,3.1,2.1,11.1,1.5,7.1,0.7,0.4,1.3
2019-20,Collin Sexton,CLE,UNK,65,33.0,16.7,7.9,4.1,3.5,20.8,3.0,3.1,1.0,0.1,2.4
2019-20,Corey Brewer,SAC,UNK,5,6.5,0.8,0.4,0.6,0.2,1.0,0.4,1.6,0.8,0.0,0.4
2019-20,Cory Joseph,SAC,UNK,72,24.4,5.7,2.4,1.0,0.8,6.4,3.5,2.6,0.7,0.3,1.1
2019-20,Courtney Lee,DAL,UNK,24,14.4,3.4,1.7,0.3,0.3,4.5,0.5,1.3,0.8,0.3,0.5
2019-20,Cristiano Felicio,CHI,UNK,22,17.5,2.5,1.5,1.0,0.8,3.9,0.7,4.6,0.5,0.1,0.8
2019-20,D'Angelo Russell,MIN,UNK,45,32.3,18.8,8.0,4.4,3.6,23.1,6.3,3.9,1.1,0.3,3.3
2019-20,D.J. Augustin,ORL,UNK,57,24.9,8.1,3.2,3.2,2.8,10.5,4.6,2.1,0.6,0.0,1.5
2019-20,D.J. Wilson,MIL,UNK,37,9.8,3.6,1.4,0.5,0.3,3.6,0.7,2.5,0.1,0.1,0.5
2019-20,DaQuan Jeffries,SAC,UNK,13,10.9,3.1,1.5,0.5,0.4,3.8,0.5,1.4,0.3,0.1,0.2
2019-20,Damian Jones,ATL,UNK,55,16.1,3.2,2.2,1.5,1.1,5.6,0.6,3.7,0.5,0.7,0.5
2019-20,Damian Lillard,POR,UNK,66,37.5,20.4,9.5,7.8,7.0,30.0,8.0,4.3,1.1,0.3,2.9
2019-20,Damion Lee,GSW,UNK,49,29.0,10.4,4.3,2.6,2.2,12.7,2.7,4.9,1.0,0.1,1.4
2019-20,Damyean Dotson,NYK,UNK,48,17.4,6.0,2.5,0.7,0.5,6.7,1.2,1.9,0.5,0.1,0.4
